Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2020/2/27,0.5,0.042,2.7,93,7.1,27,43,0.02,0.006,0.003,8.3,0.9,33.1,3,0.66,10,19,0.07,2.8,0.002,1.7
2020/2/27,0.6,0.037,2.4,100,7.6,6,13,0.013,0.005,0.007,8.3,0.8,33.3,3,0.63,13,19,0.06,1.2,0.002,1.8
2020/3/12,0.7,0.028,4,88,6.7,25,34,0.009,0.005,0.008,8.2,1.3,33.1,3.1,0.53,2.3,19,0.04,1.6,0.001,0.8
2020/6/12,1.1,0.034,5.5,93,6.3,170,280,0.28,0.073,0.01,7.9,2.4,29.6,2.4,1.8,2.4,26.7,0.39,1.9,0.001,1.3
2020/7/11,2,0.045,20,109,7.5,1,20,0.062,0.021,0.004,8.1,2.6,31.8,1.9,0.52,15,25.2,0.13,4.1,0.003,3.6
2020/7/11,1,0.054,6.1,64,4.6,43,85,0.05,0.02,0.015,8,1.1,34.2,1.9,0.63,9.7,21.9,0.12,2,0.002,2.1
2020/7/11,0.4,0.054,3.7,65,4.7,2,17,0.044,0.019,0.014,8,1.5,34.4,1.9,0.65,15,21.5,0.12,3.1,0.002,3.7
2020/8/13,0.6,0.065,2.6,88,6,80,100,0.09,0.04,0.011,7.8,2.8,32.4,3.3,1.2,10,25.5,0.2,2.5,0.002,1.9
2020/9/12,0.8,0.25,1.9,51,3.4,220,500,0.13,0.038,0.032,7.8,0.6,32.1,4.1,1.7,4.6,26.7,0.42,2.3,0.008,1.3
2020/10/10,0.4,0.018,2.2,79,5.2,28,55,0.012,0.004,0.007,8.1,0.6,32.7,1.7,0.51,8.6,28.1,0.03,3.5,0.001,1.8
2020/10/10,0.2,0.02,1.7,93,6,35,65,0.009,0.004,0.006,8.1,1.6,32.8,1.7,0.48,9.5,28,0.03,3.9,0.001,2.1
2020/10/10,0.4,0.02,1.4,93,6.1,27,55,0.01,0.004,0.005,8.1,1.8,32.8,1.7,0.53,12,28,0.03,3.8,0.001,2.9
2020/6/12,1.8,0.069,8,82,5.5,540,1100,0.18,0.054,0.006,8,3.5,29.4,1.9,1.5,2.8,27.4,0.3,2.1,0.003,1.5
2020/6/12,0.7,0.033,4.8,69,4.8,10,90,0.075,0.038,0.013,7.9,3.1,34,1.9,0.97,2.5,23.4,0.15,2.3,0.001,1.2
2020/7/11,1.7,0.054,15,94,6.5,1,10,0.1,0.026,0.005,8.2,2.1,31.2,3,0.68,14,25.4,0.18,5,0.004,3.2
2020/7/11,1,0.05,6.3,86,6.2,2,14,0.06,0.02,0.016,8.1,1.2,34.5,3,0.64,14,21.8,0.13,2.1,0.002,2.7
2020/7/11,1,0.044,4.6,65,4.7,9,35,0.051,0.019,0.013,8.1,0.8,34.4,3,0.62,16,21.4,0.11,3,0.002,3.2
2020/9/12,0.7,0.1,1.3,95,6.2,3,12,0.073,0.02,0.016,7.7,0.8,31.7,4,1,2.4,28.2,0.19,2.4,0.003,1
2020/9/12,0.5,0.098,1.1,42,2.9,92,110,0.066,0.022,0.015,7.8,0.4,34.2,4,1.1,3,24.2,0.19,4.1,0.003,1
2020/1/18,0.4,0.099,1,87,6.6,370,790,0.075,0.01,0.012,8.2,2.1,31.9,1.7,0.68,5.2,19.5,0.18,3.3,0.005,1
2020/1/18,0.4,0.1,1.1,86,6.6,220,470,0.073,0.011,0.01,8.2,2.9,32,1.7,0.73,5.4,19.5,0.18,2.7,0.005,1
2020/1/18,0.5,0.091,1,83,6.3,120,280,0.014,0.012,0.005,8.2,2.9,32,1.7,0.52,5,19.5,0.12,2.8,0.004,0.9
2020/5/14,1.5,0.056,9,88,6,730,1400,0.039,0.004,0.003,8,4,32.2,3,0.05,12,25.2,0.1,1.4,0.002,2.4
2020/5/14,1.2,0.051,8.1,93,6.4,900,1700,0.042,0.004,0.005,8,2.6,32.3,3,0.05,12,25.1,0.1,1.8,0.002,2.3
2020/5/14,1.3,0.053,7.7,92,6.3,710,1100,0.048,0.005,0.005,7.9,2.8,32.4,3,0.1,10,24.9,0.11,2.3,0.002,2.3
2020/7/11,1.9,0.066,12,102,6.9,12,70,0.12,0.027,0.003,8.1,2,30.3,2.3,0.9,16,26.1,0.21,2.7,0.004,4.8
2020/7/11,1.7,0.068,12,90,6.3,180,550,0.11,0.027,0.003,8,3.1,31.1,2.3,0.89,12,24.9,0.21,1.6,0.003,3.1
2020/7/11,1.7,0.071,13,92,6.4,100,300,0.11,0.028,0.003,8,2.6,32.1,2.3,0.91,13,23.9,0.21,2.1,0.003,3.8
2020/10/10,1.3,0.032,9,80,5.3,9,90,0.021,0.003,0.005,8.2,1.8,32.1,2.3,0.42,17,28,0.06,4.1,0.002,3.9
2020/10/10,1.1,0.022,10,103,6.8,9,110,0.005,0.004,0.005,8.1,2.9,32.3,2.3,0.33,21,28,0.03,3.4,0.002,5.7
2020/10/10,0.9,0.03,5.2,100,6.5,16,60,0.016,0.005,0.006,8.1,2.1,32.6,2.3,0.47,19,28.2,0.05,3.8,0.002,4.4
2020/1/18,0.5,0.12,0.4,78,5.9,1000,1500,0.082,0.011,0.013,8.2,2,31.9,3,0.67,2,19.6,0.21,0.8,0.005,0.7
2020/1/18,0.4,0.1,1.2,87,6.6,220,360,0.016,0.009,0.005,8.2,1.5,32.3,3,0.49,2.8,19.7,0.13,1.1,0.005,0.8
2020/5/14,0.7,0.16,1.6,92,6.3,7600,14000,0.12,0.015,0.01,7.7,1.5,32.2,3.4,0.68,8.6,24.5,0.3,3.4,0.004,1.4
2020/5/14,0.6,0.14,1.5,60,4.1,6900,22000,0.11,0.013,0.025,7.9,0.6,32.5,3.4,0.68,7.6,24.4,0.26,2.7,0.004,1.4
2020/5/14,0.5,0.14,0.8,63,4.4,3100,6300,0.1,0.012,0.007,7.9,1.2,33.6,3.4,0.62,8.7,23.5,0.25,3,0.004,1.5
2020/7/11,1.5,0.12,6,77,5.3,1900,6100,0.19,0.037,0.006,8.1,2.3,29.2,2.4,1.4,10,25.9,0.35,1.7,0.007,2.9
2020/7/11,1.1,0.11,7.2,76,5.3,2600,4800,0.18,0.036,0.002,8.2,2.4,30,2.4,1.4,8.6,25.2,0.33,2.1,0.007,2.6
2020/7/11,0.9,0.1,3.9,49,3.5,1300,2600,0.14,0.033,0.013,8.1,1.7,33.8,2.4,1.5,12,22.3,0.27,2.4,0.005,3.1
2020/10/10,0.6,0.098,0.6,97,6.3,12000,160000,0.045,0.009,0.017,7.9,1.5,32.5,3,0.91,8.4,28.1,0.15,4.5,0.004,2.3
2020/10/10,0.4,0.082,0.8,75,4.9,2200,38000,0.033,0.007,0.012,7.9,0.5,32.7,3,0.74,14,28.1,0.12,3.4,0.004,3
2020/10/10,0.5,0.079,0.6,81,5.3,2000,18000,0.029,0.01,0.012,8,0.8,32.7,3,0.78,15,28.1,0.12,3.4,0.004,3.2
2020/11/7,0.8,0.078,3,88,6.1,2500,5000,0.11,0.022,0.023,7.7,1.5,32.5,4,1,1.8,24.3,0.21,3,0.002,1
2020/11/7,0.8,0.07,2.3,82,5.7,2900,7300,0.12,0.023,0.021,7.7,1.4,32.9,4,0.98,1.2,24.2,0.21,2.8,0.002,0.7
2020/11/7,0.7,0.054,2.2,89,6.2,1900,2600,0.076,0.023,0.006,7.7,1.3,33,4,0.9,1.1,24.2,0.15,2.9,0.001,0.7
2020/1/6,0.2,0.044,1,85,6.4,4,15,0.12,0.011,0.017,8.1,0.8,32.4,2.4,0.87,3.4,19.7,0.18,2,0.002,0.8
2020/1/6,0.4,0.047,1,89,6.7,10,70,0.11,0.011,0.017,8.2,0.6,32.4,2.4,0.92,4.4,19.6,0.17,2,0.002,0.9
2020/1/6,0.3,0.04,1.2,91,6.9,7,27,0.11,0.01,0.015,8.2,0.5,32.4,2.4,0.91,4.5,19.6,0.16,2.9,0.002,0.7
2020/3/12,0.7,0.08,3.3,80,6,390,510,0.039,0.008,0.014,8.3,1.4,32.9,2.4,0.64,3,19.4,0.13,1.5,0.004,0.9
2020/3/12,0.7,0.075,2.3,90,6.9,280,450,0.041,0.007,0.015,8.3,1.3,32.9,2.4,0.69,2.8,19.4,0.12,1.7,0.004,0.8
2020/3/12,0.6,0.062,1.8,90,6.8,220,280,0.034,0.007,0.014,8.3,1.3,32.9,2.4,0.64,3.2,19.3,0.1,1.7,0.003,0.9
2020/6/12,1.6,0.11,5.7,93,6.2,7,120,0.19,0.053,0.006,7.9,2.9,29.8,2,1.7,1.8,27.5,0.35,3.2,0.005,1.3
2020/6/12,1.6,0.052,3.8,94,6.5,42,90,0.13,0.054,0.01,7.9,1.9,32,2,1.4,2.2,25,0.24,2.4,0.002,1
2020/7/11,2.5,0.086,19,98,6.7,12,76,0.058,0.02,0.005,8.2,4.8,30.6,2.6,0.37,17,25.9,0.16,2.2,0.006,4
2020/7/11,1.5,0.077,14,102,7.2,12,61,0.066,0.024,0.006,8,3.6,33,2.6,0.55,11,23.4,0.17,2.8,0.003,2.6
2020/7/11,1.5,0.057,9.1,107,7.6,4,45,0.055,0.022,0.009,8,2.7,34.6,2.6,0.68,16,22.1,0.13,5.6,0.002,3.4
2020/10/10,0.5,0.02,1.3,90,5.9,17,120,0.014,0.004,0.007,8,1.2,32.7,2,0.62,21,27.9,0.04,4.4,0.001,5.2
2020/10/10,0.5,0.02,1.6,77,5.1,30,240,0.004,0.002,0.005,8,1.2,32.7,2,0.61,13,27.9,0.03,4.5,0.001,2.5
2020/10/10,0.4,0.025,1.4,90,5.9,19,270,0.014,0.004,0.007,8,1.4,32.7,2,0.6,12,27.9,0.04,4.3,0.001,2
2020/1/6,0.6,0.042,1.2,87,6.6,6,8,0.11,0.011,0.017,8.2,0.6,32.4,3.5,0.88,2,19.7,0.16,0.9,0.002,0.6
2020/1/6,0.8,0.045,1.5,94,7.1,2,3,0.11,0.012,0.016,8.2,0.7,32.4,3.5,0.88,2.8,19.6,0.17,0.9,0.002,0.8
2020/1/6,0.5,0.029,0.6,97,7.3,1,5,0.1,0.011,0.014,8.2,0.8,32.4,3.5,0.82,2.2,19.5,0.14,1.4,0.001,0.5
2020/2/27,0.5,0.079,1.9,86,6.6,67,110,0.048,0.008,0.016,8.2,1.2,32.8,3.2,0.77,9.5,18.9,0.14,2,0.003,1.2
2020/2/27,0.4,0.029,1.1,95,7.3,24,30,0.014,0.005,0.007,8.2,1,33.2,3.2,0.67,13,18.8,0.05,2,0.001,1.7
2020/3/12,0.8,0.046,2.5,87,6.6,200,310,0.023,0.006,0.012,8.1,2,33,2.7,0.6,3.2,19.2,0.08,1.7,0.002,1
2020/3/12,0.8,0.041,2.3,93,7.1,180,240,0.02,0.006,0.013,8.1,1.5,33,2.7,0.59,3.2,19.2,0.07,1.6,0.002,1
2020/6/12,1.2,0.049,3.8,94,6.5,170,270,0.16,0.059,0.01,7.9,2.3,31,1.9,1.5,2.8,25.7,0.27,3,0.002,1.2
2020/7/11,2.1,0.059,18,97,6.6,1,33,0.1,0.028,0.003,8.2,2.6,30.9,2.8,0.68,12,25.6,0.19,2.6,0.005,2.8
2020/7/11,0.9,0.052,8.6,93,6.7,12,38,0.079,0.027,0.01,7.9,1.9,34.2,2.8,0.81,10,22.3,0.16,2.2,0.001,2.3
2020/7/11,1.4,0.053,3.2,65,4.7,12,31,0.049,0.019,0.017,8,1.3,34.4,2.8,0.74,14,21.6,0.12,3.4,0.002,3.1
2020/8/13,1.2,0.12,5.9,86,5.8,14,42,0.18,0.042,0.006,7.9,2.3,29.2,2.6,0.28,8,27.8,0.34,1.6,0.006,1.6
2020/8/13,0.7,0.084,3.7,84,5.7,100,220,0.12,0.04,0.01,7.8,2.1,32.4,2.6,0.87,9.1,25.2,0.24,2.5,0.002,1.7
2020/8/13,0.6,0.051,1.9,40,2.9,80,230,0.095,0.039,0.016,7.7,1.9,34.3,2.6,1.3,10,22.7,0.19,6.5,0.001,1.6
2020/10/10,0.5,0.025,2.4,99,6.5,57,80,0.016,0.004,0.007,8.1,0.6,32.7,2.4,0.58,17,28.1,0.05,5.3,0.002,4.4
2020/10/10,0.4,0.018,2,92,6,55,110,0.01,0.003,0.006,8.1,0.8,32.8,2.4,0.53,9,27.9,0.03,5.6,0.001,1.9
2020/1/13,1,0.048,2.6,90,6.7,4,10,0.042,0.004,0.006,8.3,1,32.6,2.9,0.73,11,20.5,0.09,1,0.003,2.2
2020/1/13,0.9,0.05,2.1,90,6.7,1,2,0.036,0.005,0.007,8.3,1.5,32.6,2.9,0.72,9.8,20.4,0.09,1.1,0.003,1.8
2020/3/19,1.3,0.066,2.5,92,6.8,16,36,0.055,0.006,0.008,8.1,2.6,32,2.5,1.3,8.1,21,0.13,2.4,0.003,1.7
2020/3/19,1.3,0.069,2.2,86,6.4,25,40,0.052,0.005,0.008,8.1,2.9,32.7,2.5,1.3,7.3,20.1,0.13,3.4,0.003,1.4
2020/10/19,0.9,0.036,5.3,86,5.7,58,80,0.01,0.009,0.009,8.1,3.5,31,2,1.1,4.1,27.2,0.06,4.5,0.002,1.2
2020/10/19,0.8,0.039,5.2,91,6,66,110,0.008,0.009,0.008,8.1,3.1,31.3,2,1.1,4.2,27.3,0.06,5.3,0.002,1.4
2020/11/19,0.7,0.04,2.6,93,6.3,1,6,0.031,0.007,0.008,7.9,1.4,32.6,2.5,0.76,3,25.3,0.08,5.2,0.001,0.7
2020/11/19,0.7,0.043,1.9,84,5.8,5,10,0.041,0.007,0.011,7.9,2.4,32.9,2.5,0.63,2.9,24.6,0.09,4.1,0.001,0.7
2020/11/19,0.5,0.042,2.9,86,6,3,7,0.035,0.007,0.01,7.9,1.4,33,2.5,0.51,3.4,24.4,0.08,5,0.001,0.8
2020/3/19,2.6,0.066,27,88,6.5,48,60,0.014,0.003,0.008,8.2,4.2,32.3,2.6,0.96,12,20.4,0.08,1.5,0.003,3.3
2020/10/19,0.6,0.031,3,84,5.6,1,3,0.009,0.009,0.01,8.1,2.2,31.4,3,0.99,12,27.2,0.05,3.7,0.002,3.3
2020/10/19,0.4,0.028,1.4,80,5.4,3,3,0.004,0.013,0.007,8.1,1.5,31.8,2.6,0.83,2.9,27.1,0.05,3.6,0.002,0.9
2020/3/19,0.7,0.047,1.6,87,6.6,1,1,0.003,0.003,0.011,8.1,1.7,32.8,4.5,0.8,8,19.8,0.05,1.8,0.002,1.4
2020/11/25,0.6,0.031,1.4,96,6.7,1,1,0.011,0.003,0.01,8,1.2,32.9,3,0.5,1.2,24.6,0.05,2.9,0.001,0.6
2020/1/10,0.3,0.17,1.3,87,6.5,90,110,0.39,0.031,0.03,8.1,0.8,30.7,2.1,1.8,8.7,20.6,0.59,3.1,0.008,1.4
2020/1/10,0.7,0.18,1.2,84,6.3,310,520,0.31,0.026,0.032,8.2,0.6,31.4,2.1,1.6,9.9,20.4,0.52,3.1,0.009,1.9
2020/1/10,0.4,0.19,1.1,85,6.4,230,340,0.31,0.026,0.032,8.1,1.2,31.7,2.1,1.6,10,20.3,0.53,3.9,0.008,1.7
2020/4/16,0.9,0.074,4.1,89,6.7,6,12,0.38,0.02,0.018,7.7,2.6,23.9,2.3,2.1,2,22.4,0.47,2.5,0.002,0.8
2020/4/16,0.5,0.09,1.2,85,6.2,57,94,0.31,0.023,0.012,7.7,1.3,32.1,2.3,1.7,2.8,21.3,0.42,2.4,0.002,0.8
2020/4/16,0.5,0.097,1.1,87,6.4,50,80,0.45,0.019,0.007,7.7,0.8,32.5,2.3,2.1,3.4,21.2,0.57,3.9,0.002,0.8
2020/6/5,0.5,0.043,1.7,59,4.1,94,180,0.6,0.12,0.014,8,1.4,28.5,2.2,3.8,17,26.3,0.76,6,0.002,4.4
2020/6/5,0.4,0.053,2.1,57,3.9,92,100,0.43,0.12,0.008,7.9,1.6,29.5,2.2,3,12,26.1,0.6,7.5,0.002,2
2020/7/13,1.8,0.042,32,111,7.7,1,3,0.84,0.061,0.019,8.2,3.8,13.1,2,3.8,10,31,0.94,3.8,0.006,3
2020/7/13,0.7,0.069,8.1,58,4.1,660,1100,0.27,0.041,0.014,7.9,3.5,32.5,2,2.1,11,23.7,0.38,3.3,0.002,3.2
2020/7/13,0.7,0.079,8.9,56,3.9,1000,2100,0.24,0.039,0.01,7.9,3.2,33.4,2,2.1,12,23.3,0.36,4.4,0.002,2.9
2020/9/25,0.4,0.066,0.2,73,4.7,30,83,0.32,0.11,0.03,7.8,2.8,29.2,2,2.1,3.3,29.2,0.5,5.5,0.003,0.7
2020/9/25,0.3,0.072,0.4,74,4.8,34,71,0.18,0.067,0.022,7.9,0.4,30.6,2,1.7,7,29.2,0.32,10.6,0.003,1.3
2020/11/18,0.7,0.13,1.5,88,6.2,460,750,0.14,0.021,0.012,7.7,1.1,32.2,1.8,0.41,9.6,23.8,0.29,10.3,0.003,1.3
2020/11/18,0.8,0.12,1.4,89,6.3,440,800,0.14,0.021,0.019,7.7,1.4,32.2,1.8,0.46,14,23.8,0.28,11.3,0.003,1.7
2020/11/18,0.7,0.12,2.3,91,6.4,520,950,0.14,0.021,0.018,7.8,1.1,32.2,1.8,0.44,16,23.8,0.28,11.2,0.003,1.8
2020/1/10,0.3,0.17,0.8,85,6.4,110,180,0.39,0.031,0.033,8.1,1.4,30.5,2,1.7,11,20.7,0.59,5.1,0.007,1.8
2020/1/10,0.5,0.17,1.6,82,6.1,65,110,0.31,0.026,0.026,8.1,0.3,31.1,2,1.6,8.5,20.5,0.51,2.3,0.007,1.5
2020/1/10,0.3,0.19,1.2,83,6.2,93,120,0.3,0.026,0.031,8.1,1,31.4,2,1.6,9.2,20.4,0.52,3.4,0.007,1.5
2020/4/16,0.3,0.096,1.7,89,6.7,13,21,0.56,0.025,0.017,7.7,2.4,25.3,2.3,2.6,3.4,21.9,0.68,2.1,0.002,0.6
2020/4/16,0.5,0.094,1.4,81,6.1,17,24,0.47,0.022,0.023,7.7,0.8,26.4,2.3,2,2.9,21.7,0.59,1.9,0.002,0.5
2020/4/16,0.5,0.095,1,86,6.3,11,28,0.45,0.022,0.02,7.7,1.3,31.1,2.3,2.1,3.4,21.3,0.57,1.9,0.002,0.9
2020/5/29,0.8,0.044,0.9,71,4.9,15,29,0.53,0.16,0.018,7.7,0.3,25.3,2.1,3.6,1.8,26.8,0.73,3.3,0.001,1
2020/6/5,0.4,0.037,1.4,72,5,25,73,0.8,0.079,0.013,7.8,1.3,21.3,2.1,3.8,13,27.8,0.92,4.8,0.001,2.8
2020/6/5,0.4,0.042,1.7,64,4.4,28,85,0.67,0.099,0.01,7.8,1.8,24.7,2.1,4.2,11,27.2,0.81,5.8,0.001,2
2020/7/13,1.1,0.03,25,97,6.7,150,890,0.89,0.064,0.017,8.2,3.1,14.7,1.7,4.3,11,30.6,0.98,3.5,0.004,3.2
2020/7/13,1.2,0.043,24,107,7.5,120,470,0.76,0.061,0.018,8.1,3.6,18.3,1.7,3.7,13,28.7,0.86,3.8,0.003,3.8
2020/7/13,0.8,0.054,18,108,7.5,150,500,0.59,0.057,0.016,8,2.3,26.3,1.7,2.8,14,26.3,0.7,3.4,0.003,4
2020/9/25,0.7,0.05,0.3,72,4.8,38,120,0.45,0.14,0.033,7.8,1.2,27.8,2.1,2.9,2.7,29.4,0.64,4.5,0.002,1.1
2020/9/25,0.3,0.066,0.5,71,4.6,67,90,0.33,0.11,0.03,7.8,0.3,29.2,2.1,2.1,2,29.2,0.51,5.3,0.003,0.6
2020/10/7,0.7,0.078,0.9,78,5.2,38,78,0.3,0.072,0.029,7.9,0.4,27.4,2.6,2.4,10,28.3,0.45,4.1,0.004,2
2020/11/18,0.8,0.095,1.5,87,6.1,44,97,0.16,0.026,0.02,7.9,1.4,31.5,2.2,0.52,4.3,23.9,0.28,6.5,0.003,0.8
2020/11/18,0.9,0.085,1.2,85,6,64,120,0.16,0.026,0.016,7.9,0.9,31.7,2.2,0.56,7.6,23.8,0.27,7.8,0.003,1.2
2020/11/18,0.7,0.091,1.7,91,6.4,45,96,0.15,0.031,0.009,7.9,1.2,31.7,2.2,0.54,6,23.8,0.27,9.1,0.003,0.8
2020/1/10,0.4,0.16,1,97,7.3,90,170,0.39,0.032,0.02,8.1,1.2,30.5,1.8,1.7,14,20.6,0.58,4.7,0.007,2.5
2020/1/10,0.3,0.14,0.6,81,6.1,330,600,0.38,0.032,0.013,8.1,1.1,30.6,1.8,1.8,16,20.5,0.55,4.4,0.006,2.5
2020/1/10,0.3,0.15,1.3,85,6.3,270,640,0.38,0.032,0.022,8.1,0.9,31,1.8,1.8,16,20.5,0.56,3.9,0.006,3.1
2020/2/24,0.5,0.12,2.1,86,6.6,77,120,0.27,0.012,0.014,8.2,0.8,30.1,2.2,1.2,5.3,19.3,0.4,5.6,0.006,1
2020/2/24,0.5,0.12,2,84,6.5,3,10,0.25,0.011,0.019,8.3,0.8,30.3,2.2,1.2,5.6,18.8,0.38,3.1,0.006,1.1
2020/2/24,0.6,0.13,1.8,89,6.9,73,120,0.24,0.01,0.013,8.2,0.8,30.6,2.2,1.2,4.5,18.7,0.38,2.4,0.006,0.8
2020/3/25,0.7,0.16,0.7,85,6.4,140,400,0.41,0.025,0.011,8,0.8,27.5,2.1,1.9,3.8,21.8,0.6,6.2,0.006,1
2020/3/25,0.7,0.17,0.3,83,6.2,130,220,0.3,0.019,0.019,8.1,0.6,30.1,2.1,1.6,4.3,21.2,0.49,8,0.007,1.1
2020/4/16,0.4,0.074,3.9,99,7.6,4,11,0.94,0.03,0.023,7.7,2.4,22.2,2.1,4,3.4,22.4,1.04,3.3,0.001,0.8
2020/4/16,0.3,0.088,1.9,85,6.4,20,34,0.62,0.024,0.021,7.7,0.8,28.6,2.1,2.1,4,21.5,0.73,4,0.001,0.9
2020/4/16,0.4,0.11,1.1,83,6.1,49,72,0.54,0.024,0.021,7.7,1.7,31,2.1,2.4,4.4,21.3,0.67,5,0.002,0.9
2020/5/29,1,0.044,0.9,78,5.4,4,15,0.59,0.16,0.018,7.8,1.7,22.1,2.3,3.9,3.3,27.8,0.79,3.7,0.002,0.7
2020/5/29,0.6,0.066,0.8,57,3.9,210,360,0.45,0.15,0.015,7.8,0.9,29.9,2.3,2.8,3.2,25.9,0.67,3.1,0.002,1.1
2020/7/13,0.8,0.023,10,102,7.2,1000,2300,1,0.068,0.022,8,2.4,11.4,1.9,5.7,8,30.5,1.09,4.8,0.002,1.8
2020/7/13,0.8,0.027,15,96,6.7,480,2500,0.89,0.072,0.023,7.9,2,20.4,1.9,4.9,13,28.1,0.99,3.6,0.001,3.6
2020/7/13,0.9,0.062,14,67,4.7,220,630,0.66,0.059,0.021,7.9,2.8,30.2,1.9,3.4,13,24.8,0.78,3.6,0.002,3
2020/8/20,0.3,0.14,1.4,68,4.6,67,120,0.37,0.067,0.027,7.7,0.6,24.8,1.7,2.5,6.1,28,0.58,6.8,0.004,0.9
2020/8/20,0.4,0.14,1.1,62,4.3,80,220,0.35,0.065,0.028,7.7,0.5,25.3,1.7,2.4,7.3,27.6,0.56,5.9,0.004,1.1
2020/8/20,0.3,0.15,0.8,60,4.1,270,530,0.31,0.057,0.025,7.7,0.8,27.2,1.7,2.2,6.9,26.8,0.52,5.1,0.004,1.2
2020/9/25,0.5,0.041,0.6,72,4.7,130,360,0.42,0.14,0.034,7.8,0.6,26.9,2.3,2.7,4.6,29.3,0.6,7.2,0.002,1
2020/11/18,0.7,0.091,1.5,84,5.9,5,15,0.18,0.028,0.017,7.9,0.6,31.4,1.9,0.53,4.2,24,0.3,6.3,0.003,0.6
2020/11/18,0.8,0.093,1.4,90,6.3,28,61,0.17,0.028,0.017,7.9,0.8,31.5,1.9,0.58,5.4,23.8,0.29,6,0.003,1
2020/11/18,0.8,0.09,1.3,92,6.5,74,110,0.16,0.027,0.006,7.9,1.8,31.6,1.9,0.57,7.1,23.8,0.28,10.9,0.003,1
2020/1/10,0.5,0.15,0.8,91,6.8,90,120,0.68,0.048,0.028,8.1,0.9,28.1,2.6,2.3,8.8,21.2,0.88,3.9,0.006,1.6
2020/1/10,0.3,0.14,1.5,88,6.6,600,890,0.45,0.036,0.03,8.1,0.4,30.1,2.6,2,12,20.6,0.63,3.9,0.006,1.7
2020/1/10,0.4,0.16,1.3,87,6.6,640,970,0.45,0.037,0.026,8.1,0.5,30.6,2.6,1.9,13,20.6,0.65,4.1,0.006,2.4
2020/4/16,0.5,0.1,2.5,91,7,100,180,0.91,0.034,0.024,7.4,1.3,20.6,1.9,3.9,3.9,22.3,1.04,4.1,0.001,0.8
2020/4/16,0.5,0.098,1.5,86,6.4,100,120,0.56,0.027,0.027,7.6,1.2,28.7,1.9,2.6,4.1,21.5,0.69,2.7,0.001,1
2020/4/16,0.3,0.099,1,81,6,220,370,0.47,0.022,0.022,7.6,0.5,30.4,1.9,2.1,3.7,21.4,0.59,6.5,0.001,0.8
2020/5/29,0.8,0.039,1.4,70,4.9,100,550,0.6,0.16,0.021,7.8,1.4,21.9,2,3.9,3.6,27.9,0.8,3.8,0.001,0.9
2020/5/29,0.7,0.058,0.4,61,4.2,100,290,0.5,0.15,0.013,7.7,0.3,26.5,2,3.3,5.4,26.6,0.71,3.4,0.002,1.5
2020/7/13,0.8,0.07,4.1,72,5,1300,3200,0.75,0.06,0.026,7.8,1.3,28.3,1.6,3.7,14,25.6,0.88,3.8,0.002,3.5
2020/7/13,0.9,0.088,3.8,53,3.7,1400,3200,0.54,0.056,0.023,7.9,1.7,32,1.6,2.8,10,24.1,0.68,11.6,0.003,2.2
2020/9/25,0.9,0.065,1.6,78,5.4,290,2300,0.73,0.22,0.053,7.7,1.1,17.6,1.8,4.3,2.7,29.9,1.02,5.8,0.002,0.7
2020/9/25,0.6,0.057,0.6,68,4.5,390,1000,0.49,0.16,0.036,7.8,0.8,27.3,1.8,3.1,5.8,29.3,0.71,8.8,0.002,1.1
2020/9/25,0.2,0.067,0.8,67,4.4,630,1900,0.42,0.13,0.035,7.8,0.6,29.1,1.8,2.7,7.6,29.1,0.62,21.1,0.003,1.4
2020/10/7,0.2,0.07,0.6,74,5,11,27,0.33,0.082,0.029,7.9,0.5,26.5,2.2,2.5,18,28.5,0.48,4.5,0.003,3.7
2020/11/18,0.7,0.1,1,81,5.8,1,10,0.27,0.041,0.012,7.9,0.3,30,1.6,0.84,5.8,24.1,0.41,8.2,0.003,0.8
2020/11/18,0.9,0.091,1.1,91,6.5,25,88,0.23,0.037,0.022,7.9,1.3,30.9,1.6,0.77,9.4,23.9,0.36,8.3,0.003,1.2
2020/11/18,0.9,0.095,1.3,93,6.6,57,140,0.2,0.031,0.025,7.9,1.2,31.3,1.6,0.68,9.8,23.9,0.33,10.4,0.003,1.3
2020/1/10,0.4,0.17,1.9,89,6.7,600,930,0.46,0.045,0.033,8.1,0.4,28.7,2,2,10,20.9,0.68,4.8,0.007,1.7
2020/1/10,0.5,0.16,1.6,83,6.3,640,1200,0.45,0.044,0.031,8.1,0.5,28.9,2,2.1,9.5,20.7,0.65,6.2,0.007,1.5
2020/1/10,0.4,0.14,1.7,89,6.7,550,900,0.39,0.037,0.025,8.1,1.4,30.4,2,1.9,13,20.4,0.57,7.5,0.006,2.1
2020/4/16,1.1,0.069,4.9,92,7,1,1,0.95,0.036,0.027,7.7,1.1,20.9,1.9,4,3.6,22.5,1.06,5.2,0.001,0.7
