Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2019/1/9,0.9,0.11,0.7,87,6.7,240,370,0.24,0.043,0.024,7.7,0.2,31.5,2,1.6,13,18.7,0.39,3.4,0.002,2.6
2019/1/9,0.6,0.12,0.4,81,6.2,770,1100,0.25,0.043,0.026,7.7,0.3,31.5,2,1.6,14,18.7,0.41,3.6,0.002,2.7
2019/2/23,0.6,0.13,4.8,84,6.4,390,570,0.6,0.023,0.017,7.8,2.2,26.3,2.1,1.1,3.5,20.7,0.75,2.3,0.003,0.9
2019/2/23,0.6,0.11,4.1,87,6.6,400,590,0.46,0.02,0.011,7.8,3.4,27,2.1,0.89,3.8,21,0.59,1.9,0.002,1.1
2019/2/23,0.6,0.12,3.7,92,7,400,600,0.47,0.02,0.016,7.8,3.1,27.7,2.1,0.9,4.3,21,0.61,2,0.003,1.2
2019/3/8,0.9,0.16,2.6,92,8.1,830,2500,0.45,0.025,0.022,8,0.9,26,2.3,0.91,7.3,20.4,0.64,2.4,0.006,2
2019/3/8,0.7,0.13,1.9,93,7.1,460,870,0.38,0.019,0.018,8.1,0.7,27.6,2.3,0.58,7.6,20.6,0.53,1.6,0.005,2.1
2019/3/8,0.6,0.11,2,93,7.1,170,280,0.34,0.017,0.015,8.1,1.2,28.7,2.3,0.47,7.7,20.6,0.47,2.2,0.004,2
2019/4/24,0.8,0.22,1,75,5.7,110,290,1.4,0.1,0.056,7.9,1.2,13.5,2.3,6,10,25.5,1.72,3.7,0.009,3.1
2019/4/24,0.5,0.19,0.8,75,5.6,190,330,1.2,0.083,0.051,7.9,0.8,17.3,2.3,4.9,7.3,24.9,1.47,2.6,0.009,2.6
2019/4/24,0.5,0.19,0.6,76,5.6,170,220,1.3,0.091,0.053,8,0.9,22.9,2.3,5.6,6.8,24.5,1.58,2.7,0.009,2.4
2019/5/23,1.1,0.05,4.5,95,6.8,70,290,0.73,0.034,0.026,8.1,2.6,19.5,2.3,2.6,3.6,27.4,0.81,1.8,0.004,1.4
2019/5/23,0.7,0.061,1,96,6.8,90,160,0.57,0.027,0.019,8.1,0.8,24,2.3,2,2.1,26.6,0.66,1.3,0.004,1
2019/5/23,0.7,0.068,4.6,87,6.1,1900,3500,0.46,0.026,0.023,8.1,3.6,25.5,2.3,1.9,3,26.4,0.55,1.7,0.004,1
2019/6/24,0.4,0.042,1.2,88,6.5,84,140,1.2,0.03,0.019,7.7,0.5,7.1,2,7.4,5.8,28.9,1.27,5.8,0.001,1.2
2019/6/24,0.5,0.043,0.8,83,6.1,170,390,1.2,0.033,0.018,7.7,1,8.4,2,6.8,4.6,28.9,1.28,4.5,0.002,1.5
2019/6/24,0.4,0.054,0.5,62,4.3,1300,3200,0.81,0.035,0.018,7.8,1,22.2,2,4.8,7.7,28.1,0.9,3.9,0.002,1.5
2019/7/19,1.1,0.027,2.7,66,4.6,100,430,0.88,0.048,0.039,7.9,1.6,19.4,1.7,5.3,7.4,28.1,0.96,3.5,0.001,1.9
2019/7/19,0.7,0.04,2.6,58,4,280,600,0.7,0.042,0.028,7.9,1.9,24.4,1.7,4.1,9.9,27.1,0.78,4.5,0.002,2.6
2019/8/2,0.5,0.1,1.1,77,5.5,2600,6400,0.7,0.14,0.044,7.8,2.4,18.9,1.9,4.5,5,27.5,0.94,4.6,0.004,0.9
2019/8/2,0.5,0.099,1.3,78,5.6,1400,4900,0.68,0.13,0.044,7.8,0.5,19.2,1.9,4.3,6,27.4,0.91,4.6,0.004,1.1
2019/8/2,0.6,0.1,1.1,77,5.4,1700,4500,0.65,0.12,0.041,7.9,0.8,20.6,1.9,4.1,6.1,27.1,0.87,4.7,0.004,1.1
2019/9/16,0.6,0.053,1.6,80,5.4,21,83,0.64,0.13,0.027,8.1,1,20.9,1.9,3.2,4.8,30.6,0.82,3.3,0.004,1.1
2019/9/16,0.4,0.074,1.6,75,5,170,310,0.53,0.11,0.025,8.1,1.2,22.9,1.9,2.8,6,30,0.71,4.4,0.006,1.3
2019/9/16,0.3,0.092,0.8,71,4.7,390,860,0.4,0.08,0.022,8.1,1.2,25.3,1.9,2.3,6.6,29.6,0.57,4.6,0.007,0.9
2019/10/16,0.2,0.063,0.9,82,5.4,830,1500,0.28,0.1,0.015,7.9,0.3,27.9,2,1.4,7.9,29,0.44,6.5,0.003,1.2
2019/10/16,0.2,0.057,0.7,82,5.4,1300,3000,0.25,0.096,0.018,7.9,0.5,28.3,2,1.3,12,28.9,0.4,7.4,0.002,1.6
2019/10/16,0.2,0.057,0.6,81,5.3,2600,5500,0.24,0.093,0.018,7.9,1.2,28.9,2,1.2,17,28.9,0.39,10.3,0.002,2.5
2019/11/14,1.3,0.033,13,119,8.2,210,560,0.13,0.033,0.002,8,3.6,31,2.2,0.4,13,25.1,0.2,3.2,0.002,3.2
2019/11/14,1,0.043,12,117,8,300,710,0.097,0.03,0.005,8,3.4,31.6,2.2,0.32,13,25.3,0.17,3.7,0.002,2.3
2019/12/14,0.3,0.13,2.1,88,6.6,160,300,0.26,0.05,0.015,8.2,0.8,31.6,1.9,1.5,6.6,20.2,0.44,10.1,0.006,0.9
2019/12/14,0.3,0.11,1.8,85,6.4,900,1500,0.24,0.049,0.011,8.2,0.7,31.7,1.9,1.4,7.9,20.2,0.4,5.5,0.005,1
2019/12/14,0.3,0.11,0.6,88,6.6,1200,2300,0.21,0.047,0.012,8.1,2.4,31.9,1.9,1.4,11,20.1,0.37,6.3,0.005,1.6
2019/3/22,0.6,0.15,1.9,63,4.5,150,200,0.084,0.012,0.025,7.8,1.7,32.9,2.5,0.46,7.8,21.8,0.25,0.6,0.004,1.7
2019/3/22,0.5,0.12,1.8,64,4.7,42,64,0.066,0.007,0.024,7.8,0.7,32.9,2.5,0.42,8.1,21.5,0.19,0.4,0.003,1.5
2019/3/22,0.5,0.089,1.5,87,6.3,19,33,0.045,0.005,0.015,7.9,1,33.3,2.5,0.32,6.3,21.5,0.14,0.4,0.002,1.1
2019/5/16,0.5,0.065,1.1,84,5.8,100,220,0.078,0.012,0.01,7.7,0.8,32.5,3.7,0.34,10,25,0.16,2.2,0.002,2
2019/6/1,0.3,0.11,0.5,78,5.3,160,500,0.097,0.025,0.023,8,1.9,31.2,2.3,0.79,3,25.7,0.23,1.8,0.005,0.7
2019/6/1,0.2,0.073,0.7,80,5.5,170,400,0.076,0.022,0.015,8,0.6,32,2.3,0.62,8.6,25.5,0.17,2.4,0.003,2.2
2019/7/10,1,0.054,3,78,5.2,370,1300,0.27,0.057,0.003,8.6,0.9,22.3,2.5,2.1,1.8,30.8,0.38,12.9,0.012,0.8
2019/8/7,0.4,0.055,2,80,5.3,410,780,0.066,0.02,0.009,8,0.6,31.1,1.9,0.88,3.6,27.5,0.14,14.3,0.003,1
2019/9/13,1.1,0.031,14,99,6.4,190,420,0.076,0.027,0.004,8.2,5.1,31.3,2.5,0.24,5.5,28.9,0.13,2.1,0.003,1.5
2019/9/13,0.5,0.051,8.2,63,4.1,150,490,0.069,0.023,0.009,8.1,4.5,32.2,2.5,0.92,9.2,27.7,0.14,4.7,0.004,1.7
2019/11/18,0.7,0.048,3.2,92,6.3,10,17,0.04,0.01,0.009,8,1.3,33.1,3.5,0.4,7.2,25.3,0.1,2,0.002,1.7
2019/11/18,0.8,0.057,3.2,100,6.9,29,82,0.042,0.01,0.01,8,1.6,33.2,3.5,0.41,7.4,25,0.11,2,0.002,1.4
2019/11/18,0.6,0.04,3.8,97,6.7,71,140,0.032,0.008,0.01,7.9,1.4,33.3,3.5,0.39,3,24.9,0.08,2.2,0.002,0.9
2019/12/7,0.2,0.036,0.5,94,6.9,110,180,0.025,0.017,0.01,8.2,2.1,33.6,2.2,0.74,13,20.6,0.08,3.5,0.002,1.9
2019/3/22,0.6,0.08,1.7,95,6.8,14,32,0.032,0.005,0.017,7.9,0.8,33.5,2.5,0.3,7.1,21.9,0.12,0.5,0.002,1.4
2019/5/16,0.3,0.054,1.2,82,5.6,84,250,0.068,0.012,0.008,7.7,1.5,32.9,2.8,0.34,7.3,25.2,0.13,1.3,0.001,1.5
2019/5/16,0.5,0.052,1.2,89,6.2,80,120,0.076,0.011,0.008,7.7,0.6,32.9,2.8,0.39,8,24.5,0.14,2.1,0.001,2.2
2019/8/7,0.3,0.053,1.5,78,5.2,300,550,0.066,0.02,0.008,8,0.5,31.2,2.3,0.86,3.6,27.5,0.14,15.9,0.003,0.6
2019/8/7,0.2,0.044,0.9,76,5,42,96,0.04,0.02,0.008,8,0.9,32.1,2.3,0.76,12,27.2,0.1,19.2,0.002,1.7
2019/9/13,0.5,0.049,8.2,84,5.5,260,970,0.054,0.02,0.007,8.2,4.8,31.8,3.5,0.44,5.1,28.6,0.12,2.1,0.004,1.2
2019/9/13,0.6,0.046,7.4,36,2.4,100,290,0.059,0.02,0.009,8,4.1,33.5,3.5,0.88,6.1,25.7,0.13,4.2,0.002,1.6
2019/11/18,0.7,0.036,2.8,88,6,26,64,0.026,0.007,0.01,8,2.3,33.3,2.8,0.43,7.5,25.1,0.07,2,0.001,1.4
2019/11/18,0.5,0.038,3,96,6.6,48,73,0.032,0.007,0.009,7.9,1.2,33.5,2.8,0.41,6.7,24.7,0.08,2.2,0.001,1.2
2019/11/18,0.5,0.044,1.9,97,6.6,33,69,0.012,0.006,0.009,7.9,1.2,33.5,2.8,0.48,8.9,24.7,0.06,3.8,0.002,1.6
2019/12/7,0.2,0.027,1.1,95,7,6,9,0.029,0.016,0.011,8.1,1.4,33.6,2.2,0.76,17,20.5,0.07,6.2,0.001,2.1
2019/3/22,0.4,0.092,1.5,47,3.4,2,6,0.052,0.006,0.018,7.9,1.1,33.3,2.5,0.3,8.9,22.3,0.15,0.4,0.002,1.7
2019/3/22,0.5,0.052,2,81,5.9,11,22,0.025,0.004,0.018,7.9,0.6,33.5,2.5,0.26,7,21.5,0.08,0.4,0.001,1.1
2019/5/16,0.4,0.049,0.8,81,5.5,19,53,0.071,0.01,0.006,7.8,1.6,32.9,3.8,0.33,8.1,25.4,0.13,0.7,0.001,1.8
2019/9/13,0.5,0.032,5.8,53,3.6,3,9,0.021,0.009,0.006,8.1,3.9,33.2,4.8,0.25,2,26.4,0.06,1.5,0.002,0.9
2019/11/18,0.6,0.045,2.4,89,6.1,12,22,0.028,0.008,0.01,8,1.2,33.3,3.5,0.4,6.9,25.1,0.08,4.4,0.002,1.3
2019/11/18,0.6,0.033,2.6,96,6.6,44,74,0.015,0.005,0.01,8,1,33.5,3.5,0.43,8,24.8,0.05,2,0.001,1.3
2019/12/7,0.1,0.025,0.4,94,6.9,1,1,0.021,0.012,0.011,8.1,2.1,33.6,1.8,0.67,26,20.7,0.06,8.7,0.001,3
2019/3/22,0.6,0.17,2,51,3.7,190,1200,0.096,0.011,0.028,7.8,0.9,32.4,2,0.49,5.7,22,0.28,0.5,0.004,1.2
2019/3/22,0.5,0.18,1.7,62,4.5,120,350,0.095,0.012,0.028,7.8,0.4,32.4,2,0.49,6,21.8,0.29,0.4,0.004,1
2019/3/22,0.6,0.16,2,61,4.4,150,420,0.097,0.011,0.027,7.8,0.4,32.6,2,0.47,10,21.6,0.27,0.5,0.004,1.8
2019/5/16,0.7,0.042,4.1,91,6.2,120,400,0.093,0.01,0.008,7.8,2,32.5,3.3,0.25,7.1,25.8,0.15,0.8,0.001,1.7
2019/5/16,0.7,0.046,4.2,74,5.1,170,450,0.088,0.01,0.007,7.8,2,32.3,3.3,0.22,8.7,25.3,0.14,0.8,0.001,2.5
2019/5/16,1,0.046,4,74,5.1,80,190,0.082,0.009,0.008,7.8,2.2,32.5,3.3,0.28,13,25,0.14,0.9,0.001,3.1
2019/7/10,0.8,0.047,3.5,69,4.6,720,3300,0.26,0.045,0.009,8.6,2.9,22.5,2.8,2,1.9,30.9,0.35,15,0.011,1
2019/7/10,0.8,0.039,3.5,60,4,730,1900,0.22,0.045,0.008,8.6,2.9,23,2.8,2,3.3,30.5,0.3,13.1,0.009,1.6
2019/11/18,0.7,0.1,2.6,81,5.5,10,250,0.058,0.012,0.01,7.9,1.6,32.9,4,0.34,6.3,25.4,0.17,2,0.004,4.3
2019/11/18,0.8,0.066,2.6,83,5.6,34,100,0.045,0.01,0.009,7.9,2.4,32.9,4,0.4,6.3,25.3,0.12,1.8,0.003,1.1
2019/11/18,1,0.057,4.1,88,6,16,100,0.034,0.007,0.007,8,3.9,33.1,4,0.3,8.8,25,0.1,1.8,0.002,1.4
2019/3/22,0.5,0.22,0.8,46,3.3,4100,11000,0.12,0.013,0.033,7.8,0.5,32.3,2,0.59,5.8,21.9,0.35,0.9,0.005,1
2019/3/22,0.4,0.16,0.7,59,4.3,300,610,0.084,0.01,0.03,7.8,0.6,32.9,2,0.46,7.9,21.5,0.25,1.1,0.003,1.2
2019/3/22,0.3,0.12,1.1,75,5.5,140,290,0.053,0.008,0.023,7.8,0.5,33.2,2,0.36,3,21.1,0.18,0.7,0.003,1.5
2019/5/16,0.6,0.086,1.3,78,5.3,540,920,0.14,0.011,0.013,7.7,1,31.8,3.9,0.5,9.6,25.6,0.24,0.8,0.002,2.3
2019/5/16,0.6,0.068,1.2,69,4.8,320,670,0.085,0.01,0.015,7.7,0.7,32.4,3.9,0.45,13,24.8,0.16,1.4,0.001,2.9
2019/5/16,0.4,0.064,0.5,79,5.5,110,170,0.099,0.011,0.007,7.7,0.2,32.9,3.9,0.59,11,24.2,0.17,1.3,0.001,2.5
2019/7/10,1,0.073,2.2,66,5.9,15000,35000,0.43,0.07,0.018,8.5,1.2,19.9,3.3,3,1.4,31.7,0.57,8.3,0.015,0.9
2019/7/10,0.7,0.048,1.7,58,3.8,8400,16000,0.42,0.072,0.027,8.5,1,20.7,3.3,2.5,0.8,31.3,0.54,7.4,0.01,0.6
2019/7/10,0.3,0.062,0.2,35,2.4,150,450,0.13,0.003,0.02,8.5,0.5,27.2,3.3,1.8,2.8,28.2,0.2,3,0.01,1
2019/9/13,0.3,0.11,6.5,60,3.9,250,910,0.09,0.03,0.009,8.1,2.8,31.5,2.6,0.78,9.1,28.5,0.23,1.6,0.007,2.1
2019/9/13,0.2,0.079,4.4,48,3.1,120,220,0.079,0.032,0.009,8.1,2.5,32,2.6,1.1,11,27.9,0.19,1.9,0.005,2.4
2019/11/18,0.8,0.13,1.5,91,6.2,5300,11000,0.069,0.013,0.014,8,0.9,32.7,3.5,0.52,8.2,25.1,0.21,2.3,0.006,1.3
2019/11/18,0.7,0.15,0.3,77,5.3,6900,18000,0.059,0.013,0.013,8,2.5,32.8,3.5,0.43,7.8,25,0.22,2.1,0.006,1.2
2019/11/18,0.6,0.11,1,86,5.9,3000,7800,0.04,0.01,0.015,8,2.2,33.3,3.5,0.5,9.6,24.9,0.16,2.1,0.004,1.5
2019/3/22,0.5,0.12,1.8,58,4.2,80,150,0.062,0.008,0.021,7.8,1.2,33.1,2.5,0.4,7,21.9,0.19,0.6,0.003,1.6
