"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2019-11-14","1","Surface Water","1","0.18","3.5","78","5.9","100","390","1.5","0.085","0.14","7.7","7.3","21.7","0.8","5.1","52","23.4","1.77","0.55","2.14","0.3","40.6","0.004","7.3"
"Deep Bay","DM1","2019-12-14","1","Surface Water","2.2","0.48","3.4","95","7.7","1100","3100","2.1","0.099","0.12","7.8","6.8","19.6","1.2","5.2","98","19.7","2.68","0.98","3.18","0.15","46.1","0.01","11"
"Deep Bay","DM2","2019-01-09","1","Surface Water","1.2","0.36","2.4","75","6.1","140","180","1.8","0.079","0.13","7.4","3.1","23","1","4.8","32","18.6","2.24","0.77","2.65","0.18","12.7","0.003","5.7"
"Deep Bay","DM2","2019-02-23","1","Surface Water","1.7","0.35","4.5","65","5.1","100","280","1.6","0.095","0.14","7.3","7.3","18.7","1","4","110","21.7","2.05","0.97","2.67","0.31","59.5","0.003","13"
"Deep Bay","DM2","2019-03-08","1","Surface Water","0.9","0.43","0.9","72","5.8","4000","7100","1.3","0.073","0.13","7.6","0.9","18.7","1.1","3.8","45","20.3","1.8","0.78","2.15","0.15","20.4","0.005","8.5"
"Deep Bay","DM2","2019-04-24","1","Surface Water","2.7","0.91","14","74","5.5","2100","2700","1.1","0.23","0.15","7.7","6","10","0.9","2.7","48","28.1","2.24","1.7","3.03","0.25","29.4","0.032","11"
"Deep Bay","DM2","2019-05-23","1","Surface Water","1.5","0.18","8.4","83","6","1100","3000","1.2","0.11","0.12","7.8","6.5","13.6","1","1.1","47","28.1","1.49","0.6","1.91","0.2","30.7","0.008","7.3"
"Deep Bay","DM2","2019-06-24","1","Surface Water","2.1","0.49","2.4","75","5.5","150","170","1.2","0.67","0.23","7.5","4.8","5.5","1","13","37","30.1","2.36","0.92","2.79","0.27","30.3","0.011","5.6"
"Deep Bay","DM2","2019-07-19","1","Surface Water","1.6","<0.005","3.2","83","5.9","550","1100","1.2","0.094","0.071","8","1.9","5.5","1","7.9","9.4","32.6","1.3","0.41","1.7","0.09","18.2","<0.001","2.7"
"Deep Bay","DM2","2019-08-02","1","Surface Water","1.8","1.6","1.9","56","4.4","23000","56000","0.76","0.14","0.11","7.4","4.2","5.5","1","8.5","36","26.8","2.5","2","2.9","0.14","26.6","0.027","7.4"
"Deep Bay","DM2","2019-09-16","1","Surface Water","1.3","0.21","3.9","70","4.8","1800","9500","0.95","0.14","0.13","7.7","7","13.9","1.1","6.7","48","31","1.3","0.74","1.83","0.23","24.6","0.009","6.2"
"Deep Bay","DM2","2019-10-16","1","Surface Water","1","0.3","6.8","72","5.1","90","260","1.1","0.13","0.14","7.5","4.5","19.1","1","5.4","52","27.7","1.53","0.72","1.95","0.22","24.1","0.005","5.4"
"Deep Bay","DM2","2019-11-14","1","Surface Water","1.2","0.015","10","117","8.4","31","72","0.63","0.046","0.064","8","3.9","27.5","1.3","2","9.9","24.2","0.69","0.49","1.17","0.12","4.3","<0.001","3"
"Deep Bay","DM2","2019-12-14","1","Surface Water","1.1","0.21","7","88","6.9","150","370","1.2","0.055","0.096","8","7.5","24.7","1.1","3.1","47","19.8","1.47","0.71","1.97","0.13","37.1","0.007","5.6"
"Deep Bay","DM3","2019-01-09","1","Surface Water","0.6","0.16","0.9","82","6.5","15","17","0.84","0.04","0.082","7.6","2","28.3","1","2.9","22","18.4","1.04","0.47","1.35","0.11","9.2","0.002","3.9"
"Deep Bay","DM3","2019-02-23","1","Surface Water","0.5","0.16","1.5","76","5.8","9","13","0.89","0.029","0.072","7.5","3.2","23.6","1.1","2.4","23","21.5","1.08","0.48","1.4","0.11","9.5","0.002","3.8"
"Deep Bay","DM3","2019-03-08","1","Surface Water","0.3","0.19","0.9","79","6.2","330","540","0.85","0.034","0.066","7.8","2.1","23","1.5","2","15","20.3","1.07","0.41","1.29","0.08","6.5","0.004","2.5"
"Deep Bay","DM3","2019-04-24","1","Surface Water","0.6","0.26","2.1","75","5.7","150","530","1.7","0.13","0.069","7.8","2.2","9.4","1.4","7.2","7","26.3","2.09","0.6","2.43","0.08","5.1","0.009","1.8"
"Deep Bay","DM3","2019-05-23","1","Surface Water","0.9","0.071","6.9","77","5.5","220","700","0.85","0.05","0.055","7.9","5.1","16.6","1.2","2","17","27.8","0.97","0.38","1.28","0.09","11.9","0.004","3"
"Deep Bay","DM3","2019-06-24","1","Surface Water","0.6","0.058","1.8","80","5.8","37","180","1.3","0.062","0.08","7.7","2","8","1.2","8.6","18","29.7","1.42","0.51","1.87","0.09","9.4","0.002","2.6"
"Deep Bay","DM3","2019-07-19","1","Surface Water","1","<0.005","6","81","5.7","31","88","1.2","0.38","0.12","8","4.6","10.3","1.5","10","22","30.7","1.59","0.5","2.08","0.22","5.3","<0.001","4.8"
"Deep Bay","DM3","2019-08-02","1","Surface Water","0.7","0.37","2.5","69","5","2500","8600","0.72","0.11","0.099","7.7","0.8","15.4","1.5","5.7","9","27.3","1.2","0.63","1.46","0.11","8.6","0.012","1.8"
"Deep Bay","DM3","2019-09-16","1","Surface Water","0.4","0.1","2.2","70","4.7","300","970","0.73","0.1","0.071","7.8","3.2","18","1.3","4.7","18","31.1","0.93","0.3","1.13","0.11","9.1","0.005","2.4"
"Deep Bay","DM3","2019-10-16","1","Surface Water","0.2","0.097","2.6","78","5.3","6","21","0.65","0.087","0.078","7.6","1.2","24.5","1.6","3.2","12","28.6","0.83","0.36","1.1","0.09","9.1","0.002","1.6"
"Deep Bay","DM3","2019-11-14","1","Surface Water","1.2","0.034","8.9","113","7.9","6","14","0.3","0.048","0.018","8","3.6","29.5","1.7","0.6","14","24.8","0.38","0.62","0.97","0.06","4.3","0.002","2.4"
"Deep Bay","DM3","2019-12-14","1","Surface Water","0.7","0.048","4.6","89","6.8","22","31","0.51","0.029","0.044","8.2","4","29","1.7","2.1","12","20","0.59","0.56","1.1","0.07","7.4","0.003","1.7"
"Deep Bay","DM4","2019-01-09","1","Surface Water","0.5","0.13","0.6","87","6.8","19","32","0.44","0.036","0.047","7.7","1.2","30.5","2","2","14","18.7","0.61","0.29","0.77","0.07","4.5","0.002","2.3"
"Deep Bay","DM4","2019-01-09","1","Bottom Water","0.2","0.13","0.7","76","6","43","70","0.42","0.036","0.047","7.7","0.6","30.6","2","2","21","18.7","0.59","0.35","0.81","0.06","4.9","0.002","4"
"Deep Bay","DM4","2019-02-23","1","Surface Water","0.3","0.18","2.5","81","6.2","560","860","0.73","0.029","0.026","7.7","1.8","24.5","1.7","1.6","7.2","20.9","0.94","0.35","1.11","0.04","4.2","0.003","1.4"
"Deep Bay","DM4","2019-02-23","1","Bottom Water","0.4","0.18","2.3","78","6","1000","1100","0.73","0.03","0.024","7.7","1.3","24.5","1.7","1.6","6.4","21.1","0.94","0.55","1.31","0.04","4.7","0.003","1.1"
"Deep Bay","DM4","2019-03-08","1","Surface Water","0.5","0.2","1.4","81","6.4","1400","2400","0.69","0.034","0.034","8","0.9","24.2","1.8","1.5","9.9","20","0.92","0.41","1.13","0.04","4.2","0.006","3"
"Deep Bay","DM4","2019-03-08","1","Bottom Water","0.4","0.18","0.6","84","6.6","870","1400","0.65","0.032","0.032","8","0.5","24.3","1.8","1.4","10","20.4","0.86","0.42","1.1","0.04","3.5","0.005","2.2"
"Deep Bay","DM4","2019-04-24","1","Surface Water","0.8","0.28","1.4","68","5.2","220","630","1.6","0.14","0.068","7.7","1.5","10.4","1.6","6.8","6.9","25.8","2.02","0.58","2.32","0.07","6.3","0.009","1.9"
"Deep Bay","DM4","2019-04-24","1","Bottom Water","0.7","0.26","1.2","68","5.1","2000","5700","1.5","0.12","0.065","7.7","1.3","14.9","1.6","6.2","9.8","25.1","1.88","0.54","2.16","0.07","6","0.007","3.3"
"Deep Bay","DM4","2019-05-23","1","Surface Water","0.7","0.07","4.4","85","6.1","100","450","0.87","0.046","0.036","8","4","17.2","2","3.1","4.7","27.5","0.99","0.33","1.25","0.05","3","0.004","1"
"Deep Bay","DM4","2019-05-23","1","Bottom Water","0.7","0.075","2.9","90","6.5","200","660","0.83","0.043","0.035","8","3","17.8","2","2.9","5.3","27.4","0.95","0.36","1.23","0.05","3.3","0.005","1.4"
"Deep Bay","DM4","2019-06-24","1","Surface Water","0.5","0.04","0.9","95","7","190","1200","1.2","0.036","0.027","7.7","1.4","7.3","1.5","7.7","4.3","29.3","1.28","0.48","1.72","0.06","4.8","0.002","0.9"
"Deep Bay","DM4","2019-06-24","1","Bottom Water","0.4","0.039","1","84","6.2","200","1100","1.2","0.037","0.019","7.7","0.8","7.6","1.5","8.3","5.9","29.3","1.28","0.79","2.03","0.06","5","0.001","1.6"
"Deep Bay","DM4","2019-07-19","1","Surface Water","0.8","0.007","2.2","68","4.8","37","120","1.1","0.074","0.033","7.9","0.9","10.7","1.6","7.7","6.2","30.2","1.18","0.5","1.67","0.07","4.8","<0.001","1.6"
"Deep Bay","DM4","2019-07-19","1","Bottom Water","0.8","0.033","2.3","70","5","450","1300","0.78","0.052","0.025","7.8","2","16.7","1.6","5.1","20","28.8","0.87","0.25","1.08","0.06","4.5","0.001","4.4"
"Deep Bay","DM4","2019-08-02","1","Surface Water","0.4","0.21","1","70","5.1","2400","6200","0.7","0.11","0.078","7.7","1.9","17.5","1.5","5.2","12","27.3","1.02","0.39","1.2","0.08","8.8","0.007","2.2"
"Deep Bay","DM4","2019-08-02","1","Bottom Water","0.5","0.12","1.5","72","5.1","1300","4900","0.69","0.13","0.053","7.7","0.4","18.1","1.5","4.8","10","27.3","0.94","0.35","1.17","0.06","8.7","0.004","1.6"
"Deep Bay","DM4","2019-09-16","1","Surface Water","0.6","0.08","1.7","71","4.7","26","110","0.63","0.11","0.045","8","1.3","20.4","1.5","3.5","8.2","31.1","0.82","0.23","0.97","0.08","7.2","0.005","1.4"
"Deep Bay","DM4","2019-09-16","1","Bottom Water","0.5","0.082","1.2","72","4.8","120","370","0.63","0.12","0.038","8","2.4","20.4","1.5","3.4","9.9","30.9","0.83","0.26","1.01","0.07","6.8","0.005","1.4"
"Deep Bay","DM4","2019-10-16","1","Surface Water","0.3","0.075","1.1","75","5","47","110","0.43","0.11","0.028","7.8","1.3","26.5","1.6","2","11","28.7","0.62","0.32","0.86","0.05","7.9","0.003","1.4"
"Deep Bay","DM4","2019-10-16","1","Bottom Water","0.3","0.07","1.3","84","5.6","160","280","0.39","0.1","0.031","7.7","0.6","26.5","1.6","2","16","28.7","0.56","0.34","0.83","0.05","10.2","0.002","1.6"
"Deep Bay","DM4","2019-11-14","1","Surface Water","1.5","0.033","12","104","7.2","150","480","0.16","0.043","0.007","8","4.7","30.8","2","0.42","11","25","0.24","0.31","0.51","0.04","4.2","0.002","2.2"
"Deep Bay","DM4","2019-11-14","1","Bottom Water","1.3","0.048","11","114","7.9","280","740","0.13","0.038","0.006","8","3.1","31.1","2","0.38","15","25.1","0.22","0.2","0.37","0.03","4.1","0.002","2.9"
"Deep Bay","DM4","2019-12-14","1","Surface Water","0.7","0.086","3.4","85","6.4","39","61","0.33","0.04","0.017","8.2","1.9","31.2","1.8","1.6","8.8","20.3","0.46","0.52","0.89","0.04","9.3","0.004","1.4"
"Deep Bay","DM4","2019-12-14","1","Bottom Water","0.5","0.1","2.7","92","6.9","100","180","0.29","0.04","0.018","8.2","1.9","31.3","1.8","1.6","10","20.1","0.43","0.42","0.75","0.05","5.9","0.004","1.2"
"Deep Bay","DM5","2019-01-09","1","Surface Water","0.9","0.11","0.7","87","6.7","240","370","0.24","0.043","0.024","7.7","0.2","31.5","2","1.6","13","18.7","0.39","0.51","0.79","0.04","3.4","0.002","2.6"
"Deep Bay","DM5","2019-01-09","1","Middle Water","0.6","0.12","0.4","81","6.2","770","1100","0.25","0.043","0.026","7.7","0.3","31.5","2","1.6","14","18.7","0.41","0.34","0.63","0.04","3.6","0.002","2.7"
"Deep Bay","DM5","2019-01-09","1","Bottom Water","0.7","0.1","<0.2","88","6.8","800","1300","0.23","0.042","0.024","7.7","0.6","31.8","2","1.5","18","18.7","0.37","0.37","0.64","0.04","5.1","0.002","3.1"
"Deep Bay","DM5","2019-02-23","1","Surface Water","0.6","0.13","4.8","84","6.4","390","570","0.6","0.023","0.017","7.8","2.2","26.3","2.1","1.1","3.5","20.7","0.75","0.53","1.15","0.04","2.3","0.003","0.9"
"Deep Bay","DM5","2019-02-23","1","Middle Water","0.6","0.11","4.1","87","6.6","400","590","0.46","0.02","0.011","7.8","3.4","27","2.1","0.89","3.8","21","0.59","0.34","0.82","0.04","1.9","0.002","1.1"
"Deep Bay","DM5","2019-02-23","1","Bottom Water","0.6","0.12","3.7","92","7","400","600","0.47","0.02","0.016","7.8","3.1","27.7","2.1","0.9","4.3","21","0.61","0.37","0.86","0.03","2","0.003","1.2"
"Deep Bay","DM5","2019-03-08","1","Surface Water","0.9","0.16","2.6","92","8.1","830","2500","0.45","0.025","0.022","8","0.9","26","2.3","0.91","7.3","20.4","0.64","0.37","0.85","0.03","2.4","0.006","2"
"Deep Bay","DM5","2019-03-08","1","Middle Water","0.7","0.13","1.9","93","7.1","460","870","0.38","0.019","0.018","8.1","0.7","27.6","2.3","0.58","7.6","20.6","0.53","0.33","0.73","0.03","1.6","0.005","2.1"
"Deep Bay","DM5","2019-03-08","1","Bottom Water","0.6","0.11","2","93","7.1","170","280","0.34","0.017","0.015","8.1","1.2","28.7","2.3","0.47","7.7","20.6","0.47","0.32","0.68","0.02","2.2","0.004","2"
"Deep Bay","DM5","2019-04-24","1","Surface Water","0.8","0.22","1","75","5.7","110","290","1.4","0.1","0.056","7.9","1.2","13.5","2.3","6","10","25.5","1.72","0.5","2","0.06","3.7","0.009","3.1"
"Deep Bay","DM5","2019-04-24","1","Middle Water","0.5","0.19","0.8","75","5.6","190","330","1.2","0.083","0.051","7.9","0.8","17.3","2.3","4.9","7.3","24.9","1.47","0.42","1.7","0.06","2.6","0.009","2.6"
"Deep Bay","DM5","2019-04-24","1","Bottom Water","0.5","0.19","0.6","76","5.6","170","220","1.3","0.091","0.053","8","0.9","22.9","2.3","5.6","6.8","24.5","1.58","0.41","1.8","0.06","2.7","0.009","2.4"
"Deep Bay","DM5","2019-05-23","1","Surface Water","1.1","0.05","4.5","95","6.8","70","290","0.73","0.034","0.026","8.1","2.6","19.5","2.3","2.6","3.6","27.4","0.81","0.27","1.03","0.04","1.8","0.004","1.4"
"Deep Bay","DM5","2019-05-23","1","Middle Water","0.7","0.061","1","96","6.8","90","160","0.57","0.027","0.019","8.1","0.8","24","2.3","2","2.1","26.6","0.66","0.28","0.88","0.03","1.3","0.004","1"
"Deep Bay","DM5","2019-05-23","1","Bottom Water","0.7","0.068","4.6","87","6.1","1900","3500","0.46","0.026","0.023","8.1","3.6","25.5","2.3","1.9","3","26.4","0.55","0.29","0.78","0.03","1.7","0.004","1"
"Deep Bay","DM5","2019-06-24","1","Surface Water","0.4","0.042","1.2","88","6.5","84","140","1.2","0.03","0.019","7.7","0.5","7.1","2","7.4","5.8","28.9","1.27","0.43","1.66","0.05","5.8","0.001","1.2"
"Deep Bay","DM5","2019-06-24","1","Middle Water","0.5","0.043","0.8","83","6.1","170","390","1.2","0.033","0.018","7.7","1","8.4","2","6.8","4.6","28.9","1.28","0.64","1.87","0.05","4.5","0.002","1.5"
"Deep Bay","DM5","2019-06-24","1","Bottom Water","0.4","0.054","0.5","62","4.3","1300","3200","0.81","0.035","0.018","7.8","1","22.2","2","4.8","7.7","28.1","0.9","0.49","1.34","0.04","3.9","0.002","1.5"
"Deep Bay","DM5","2019-07-19","1","Surface Water","1","0.017","2.2","61","4.4","80","210","1","0.057","0.03","7.8","1.4","12.3","1.7","7.3","9","28.9","1.07","0.37","1.43","0.06","6.7","<0.001","2.1"
"Deep Bay","DM5","2019-07-19","1","Middle Water","1.1","0.027","2.7","66","4.6","100","430","0.88","0.048","0.039","7.9","1.6","19.4","1.7","5.3","7.4","28.1","0.96","0.2","1.13","0.05","3.5","0.001","1.9"
"Deep Bay","DM5","2019-07-19","1","Bottom Water","0.7","0.04","2.6","58","4","280","600","0.7","0.042","0.028","7.9","1.9","24.4","1.7","4.1","9.9","27.1","0.78","0.19","0.93","0.05","4.5","0.002","2.6"
"Deep Bay","DM5","2019-08-02","1","Surface Water","0.5","0.1","1.1","77","5.5","2600","6400","0.7","0.14","0.044","7.8","2.4","18.9","1.9","4.5","5","27.5","0.94","0.23","1.07","0.05","4.6","0.004","0.9"
"Deep Bay","DM5","2019-08-02","1","Middle Water","0.5","0.099","1.3","78","5.6","1400","4900","0.68","0.13","0.044","7.8","0.5","19.2","1.9","4.3","6","27.4","0.91","0.23","1.04","0.05","4.6","0.004","1.1"
"Deep Bay","DM5","2019-08-02","1","Bottom Water","0.6","0.1","1.1","77","5.4","1700","4500","0.65","0.12","0.041","7.9","0.8","20.6","1.9","4.1","6.1","27.1","0.87","0.23","1","0.05","4.7","0.004","1.1"
"Deep Bay","DM5","2019-09-16","1","Surface Water","0.6","0.053","1.6","80","5.4","21","83","0.64","0.13","0.027","8.1","1","20.9","1.9","3.2","4.8","30.6","0.82","0.23","1","0.05","3.3","0.004","1.1"
"Deep Bay","DM5","2019-09-16","1","Middle Water","0.4","0.074","1.6","75","5","170","310","0.53","0.11","0.025","8.1","1.2","22.9","1.9","2.8","6","30","0.71","0.22","0.86","0.04","4.4","0.006","1.3"
"Deep Bay","DM5","2019-09-16","1","Bottom Water","0.3","0.092","0.8","71","4.7","390","860","0.4","0.08","0.022","8.1","1.2","25.3","1.9","2.3","6.6","29.6","0.57","0.39","0.87","0.04","4.6","0.007","0.9"
"Deep Bay","DM5","2019-10-16","1","Surface Water","0.2","0.063","0.9","82","5.4","830","1500","0.28","0.1","0.015","7.9","0.3","27.9","2","1.4","7.9","29","0.44","0.31","0.69","0.03","6.5","0.003","1.2"
"Deep Bay","DM5","2019-10-16","1","Middle Water","0.2","0.057","0.7","82","5.4","1300","3000","0.25","0.096","0.018","7.9","0.5","28.3","2","1.3","12","28.9","0.4","0.53","0.88","0.04","7.4","0.002","1.6"
"Deep Bay","DM5","2019-10-16","1","Bottom Water","0.2","0.057","0.6","81","5.3","2600","5500","0.24","0.093","0.018","7.9","1.2","28.9","2","1.2","17","28.9","0.39","0.38","0.71","0.03","10.3","0.002","2.5"
"Deep Bay","DM5","2019-11-14","1","Surface Water","1.4","0.02","11","106","7.4","96","190","0.14","0.046","<0.002","8","3.5","30.6","2.2","0.43","11","24.9","0.21","0.46","0.65","0.04","3.6","<0.001","2.5"
"Deep Bay","DM5","2019-11-14","1","Middle Water","1.3","0.033","13","119","8.2","210","560","0.13","0.033","0.002","8","3.6","31","2.2","0.4","13","25.1","0.2","0.28","0.44","0.04","3.2","0.002","3.2"
"Deep Bay","DM5","2019-11-14","1","Bottom Water","1","0.043","12","117","8","300","710","0.097","0.03","0.005","8","3.4","31.6","2.2","0.32","13","25.3","0.17","0.31","0.44","0.03","3.7","0.002","2.3"
"Deep Bay","DM5","2019-12-14","1","Surface Water","0.3","0.13","2.1","88","6.6","160","300","0.26","0.05","0.015","8.2","0.8","31.6","1.9","1.5","6.6","20.2","0.44","0.44","0.75","0.03","10.1","0.006","0.9"
"Deep Bay","DM5","2019-12-14","1","Middle Water","0.3","0.11","1.8","85","6.4","900","1500","0.24","0.049","0.011","8.2","0.7","31.7","1.9","1.4","7.9","20.2","0.4","0.47","0.76","0.04","5.5","0.005","1"
"Deep Bay","DM5","2019-12-14","1","Bottom Water","0.3","0.11","0.6","88","6.6","1200","2300","0.21","0.047","0.012","8.1","2.4","31.9","1.9","1.4","11","20.1","0.37","0.29","0.55","0.03","6.3","0.005","1.6"
"Eastern Buffer","EM1","2019-01-16","1","Surface Water","0.2","0.016","0.7","90","7","<1","1","0.14","0.008","0.022","8","0.5","32.1","3.8","1.4","1.6","18.5","0.16","0.14","0.29","0.03","8.2","<0.001","<0.5"
"Eastern Buffer","EM1","2019-01-16","1","Middle Water","0.3","0.017","0.8","97","7.5","1","2","0.15","0.006","0.051","8","0.4","32.1","3.8","1.4","1.4","18.6","0.17","0.12","0.28","0.05","0.3","<0.001","<0.5"
"Eastern Buffer","EM1","2019-01-16","1","Bottom Water","0.4","0.014","0.8","99","7.6","<1","1","0.13","0.007","0.022","8","0.2","32.1","3.8","1.4","2.1","18.5","0.15","0.16","0.3","0.03","0.3","<0.001","0.5"
"Eastern Buffer","EM1","2019-02-16","1","Surface Water","0.9","0.028","2.7","103","7.7","17","21","0.002","0.003","<0.002","8.1","1.9","32.7","3.2","0.9","7.1","20.2","0.03","0.24","0.25","0.02","0.5","0.001","2"
"Eastern Buffer","EM1","2019-02-16","1","Middle Water","1","0.026","3.2","107","8.1","33","41","0.021","0.003","<0.002","8.1","1.6","32.6","3.2","0.49","7.1","19.6","0.05","0.38","0.4","0.03","0.5","0.001","1.7"
"Eastern Buffer","EM1","2019-02-16","1","Bottom Water","1.7","0.028","5.2","104","7.9","40","55","0.023","0.003","<0.002","8.1","1.5","32.6","3.2","0.44","7.8","19.5","0.05","0.3","0.33","0.03","0.4","0.001","2.4"
"Eastern Buffer","EM1","2019-03-22","1","Surface Water","0.6","0.15","1.9","63","4.5","150","200","0.084","0.012","0.025","7.8","1.7","32.9","2.5","0.46","7.8","21.8","0.25","0.54","0.64","0.04","0.6","0.004","1.7"
"Eastern Buffer","EM1","2019-03-22","1","Middle Water","0.5","0.12","1.8","64","4.7","42","64","0.066","0.007","0.024","7.8","0.7","32.9","2.5","0.42","8.1","21.5","0.19","0.51","0.58","0.03","0.4","0.003","1.5"
"Eastern Buffer","EM1","2019-03-22","1","Bottom Water","0.5","0.089","1.5","87","6.3","19","33","0.045","0.005","0.015","7.9","1","33.3","2.5","0.32","6.3","21.5","0.14","0.39","0.44","0.02","0.4","0.002","1.1"
"Eastern Buffer","EM1","2019-04-13","1","Surface Water","0.3","0.016","0.6","98","6.9","46","110","0.058","<0.002","0.012","8.3","<0.2","32.8","5.4","0.19","8.2","23.5","0.08","0.11","0.17","<0.02","0.2","0.001","2.5"
"Eastern Buffer","EM1","2019-04-13","1","Middle Water","<0.1","0.006","1","99","7","35","76","0.06","<0.002","0.012","8.3","<0.2","33","5.4","0.19","7.8","23.4","0.07","0.2","0.26","<0.02","0.2","<0.001","2.2"
"Eastern Buffer","EM1","2019-04-13","1","Bottom Water","<0.1","0.017","0.8","98","6.9","160","280","0.036","<0.002","0.013","8.2","<0.2","33.1","5.4","0.17","1.5","23.1","0.06","0.09","0.13","<0.02","0.1","0.001","<0.5"
"Eastern Buffer","EM1","2019-05-16","1","Surface Water","0.5","0.065","1.1","84","5.8","100","220","0.078","0.012","0.01","7.7","0.8","32.5","3.7","0.34","10","25","0.16","0.34","0.43","0.03","2.2","0.002","2"
"Eastern Buffer","EM1","2019-05-16","1","Middle Water","0.4","0.041","1","77","5.4","90","130","0.043","0.011","0.008","7.7","0.9","33.1","3.7","0.39","13","24.3","0.1","0.29","0.34","0.02","2.1","<0.001","2.6"
"Eastern Buffer","EM1","2019-05-16","1","Bottom Water","0.2","0.039","0.7","88","6.1","74","120","0.036","0.011","0.01","7.7","2.3","33.2","3.7","0.39","11","24.2","0.09","0.2","0.25","0.02","1.9","<0.001","1.8"
"Eastern Buffer","EM1","2019-06-01","1","Surface Water","0.3","0.11","0.5","78","5.3","160","500","0.097","0.025","0.023","8","1.9","31.2","2.3","0.79","3","25.7","0.23","0.34","0.46","0.04","1.8","0.005","0.7"
"Eastern Buffer","EM1","2019-06-01","1","Middle Water","0.2","0.073","0.7","80","5.5","170","400","0.076","0.022","0.015","8","0.6","32","2.3","0.62","8.6","25.5","0.17","0.35","0.45","0.03","2.4","0.003","2.2"
"Eastern Buffer","EM1","2019-06-01","1","Bottom Water","0.2","0.059","0.5","84","5.7","80","170","0.065","0.02","0.011","8.1","<0.2","32.3","2.3","0.6","4.1","25.5","0.14","0.23","0.32","0.03","2.9","0.003","0.8"
